Market Capitalization Value,Year,Country Name,Country Code,Indicator Name,Indicator Code
537777811.1,1960,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
548888895.6,1961,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
546666677.8,1962,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
751111191.1,1963,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
800000044.4,1964,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
1006666638,1965,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
1399999967,1966,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
1673333418,1967,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
1373333367,1968,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
1408888922,1969,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
1748886596,1970,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
1831108971,1971,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
1595555476,1972,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
1733333264,1973,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
2155555498,1974,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
2366666616,1975,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
2555555567,1976,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
2953333418,1977,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
3300000109,1978,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
3697940410,1979,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
3641723322,1980,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
3478787909,1981,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
0,1982,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
0,1983,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
0,1984,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
0,1985,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
0,1986,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
0,1987,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
0,1988,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD
