Market Capitalization Value,Year,Country Name,Country Code,Indicator Name,Indicator Code
0,1960,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1961,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1962,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1963,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1964,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1965,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1966,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1967,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1968,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1969,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1970,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1971,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1972,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1973,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1974,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1975,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1976,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1977,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1978,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1979,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1980,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1981,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1982,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1983,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
0,1984,Afghanistan,AFG,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
